Energy_(eV)	counts
9608.459557	0.000401798
9608.707112	0.000538502
9608.954668	0.000401806
9609.202227	0.00027637
9609.449788	0.000390411
9609.697351	0.000447432
9609.944917	0.000447398
9610.192485	0.000390391
9610.440055	0.000424622
9610.687627	0.000390417
9610.935202	0.000287847
9611.182779	0.000458807
9611.430358	0.000379052
9611.677939	0.000470211
9611.925522	0.000413083
9612.173108	0.000401786
9612.420696	0.000356178
9612.668286	0.000413184
9612.915878	0.000276454
9613.163472	0.000333399
9613.411069	0.00036766
9613.658667	0.000116849
9613.906268	0.000333444
9614.153871	0.000458779
9614.401476	0.000333404
9614.649083	0.000401803
9614.896692	0.000230891
9615.144304	0.000219408
9615.391917	0.000276468
9615.639533	0.000322015
9615.88715	0.0002194
9616.13477	0.000413218
9616.382392	0.000344828
9616.630016	0.000367528
9616.877642	0.000242232
9617.12527	0.000413243
9617.3729	0.00023086
9617.620532	0.000401882
9617.868167	0.000299191
9618.115803	0.000322012
9618.363441	0.000242218
9618.611082	7.13E-05
9618.858724	0.00034478
9619.106368	0.000287816
9619.354015	0.000310634
9619.601663	0.000390343
9619.849313	0.000401809
9620.096966	0.000333472
9620.34462	0.000253627
9620.592276	0.000128247
9620.839935	0.00025365
9621.087595	0.000390369
9621.335257	0.000242179
9621.582921	0.000242213
9621.830587	0.000276437
9622.078256	0.000265051
9622.325926	0.000310735
9622.573597	0.000287827
9622.821271	0.000356206
9623.068947	2.57E-05
9623.316625	0.000196643
9623.564305	0.000230834
9623.811986	0.00040175
9624.059669	0.000344831
9624.307355	0.000265084
9624.555042	0.000173867
9624.802731	0.000242168
9625.050422	0.000230854
9625.298115	0.000344836
9625.54581	0.000208036
9625.793506	0.000139659
9626.041205	0.000242241
9626.288905	0.000253605
9626.536607	0.000333388
9626.784311	0.000470219
9627.032017	0.000321984
9627.279725	0.000253647
9627.527434	0.000286162
9627.775146	0.000287314
9628.022859	0.000261953
9628.270574	0.000213548
9628.51829	0.000305742
9628.766009	0.00027232
9629.013729	0.000283854
9629.261451	0.000326503
9629.509175	0.000257342
9629.756901	0.000275784
9630.004629	0.000272324
9630.252358	0.000273475
9630.500089	0.000255033
9630.747822	0.000287313
9630.995556	0.000280406
9631.243293	0.000287309
9631.491031	0.000326492
9631.73877	0.000301138
9631.986512	0.000301139
9632.234255	0.000249275
9632.482	0.000251576
9632.729747	0.000222766
9632.977496	0.000303448
9633.225246	0.00024236
9633.472998	0.000301141
9633.720751	0.000296527
9633.968506	0.000285005
9634.216263	0.000264259
9634.464022	0.000234293
9634.711783	0.000227376
9634.959545	0.000259648
